Year,Month,district_c,Season,Austria,Benelux countries,Germany,Italy,Other countries,Switzerland and Liechtenstein,Arrivals,District,Seasono,Unnamed: 0,Arrivalso,Present
2011,9.0,3,Autumn,3703.0,964.0,40797.0,9974.0,3247.0,1754.0,60439.0,Eisacktal,Autumn,992559,60439,265550
2011,9.0,4,Autumn,6854.0,2242.0,61516.0,46005.0,6305.0,3646.0,126568.0,Pustertal,Autumn,2094318,126568,629679
2011,9.0,5,Autumn,4133.0,1518.0,48653.0,18593.0,4865.0,3475.0,81237.0,Salten-Schlern,Autumn,1052721,81237,440435
2011,9.0,6,Autumn,7338.0,1165.0,44365.0,6301.0,2441.0,4261.0,65871.0,Uberetsch-Unterland,Autumn,1387639,65871,306104
2011,9.0,7,Autumn,2649.0,1467.0,33531.0,10239.0,2401.0,5195.0,55482.0,Vinschgau,Autumn,1046715,55482,237104
2011,9.0,8,Autumn,1295.0,744.0,17449.0,7468.0,1296.0,477.0,28729.0,Wipptal,Autumn,480714,28729,102895
2011,10.0,1,Autumn,3287.0,216.0,8345.0,8760.0,3607.0,1398.0,25613.0,Bozen,Autumn,82869,25613,58778
2011,10.0,2,Autumn,11310.0,746.0,102605.0,15851.0,2510.0,20568.0,153590.0,Burggrafenamt,Autumn,2049871,153590,794657
2011,10.0,3,Autumn,4646.0,442.0,35963.0,8777.0,1398.0,2346.0,53572.0,Eisacktal,Autumn,1042761,53572,205437
2011,10.0,4,Autumn,4220.0,422.0,33968.0,20138.0,1375.0,3209.0,63332.0,Pustertal,Autumn,2100823,63332,243751
2011,10.0,5,Autumn,2804.0,370.0,29777.0,10523.0,1504.0,3291.0,48269.0,Salten-Schlern,Autumn,1091414,48269,216193
2011,10.0,6,Autumn,6964.0,260.0,33866.0,5525.0,1191.0,4393.0,52199.0,Uberetsch-Unterland,Autumn,1499908,52199,217456
2011,10.0,7,Autumn,2017.0,240.0,17476.0,10246.0,1582.0,5260.0,36821.0,Vinschgau,Autumn,1085624,36821,146360
2011,10.0,8,Autumn,1512.0,257.0,15348.0,5687.0,657.0,1043.0,24504.0,Wipptal,Autumn,505146,24504,78669
2011,11.0,1,Autumn,1223.0,141.0,2849.0,10838.0,1755.0,476.0,17282.0,Bozen,Autumn,86859,17282,36581
2011,11.0,2,Autumn,3103.0,136.0,9496.0,17802.0,1403.0,2930.0,34870.0,Burggrafenamt,Autumn,1845923,34870,144926
2011,11.0,3,Autumn,2132.0,96.0,5421.0,6513.0,586.0,356.0,15104.0,Eisacktal,Autumn,1045465,15104,46593
2011,11.0,4,Autumn,1082.0,69.0,3136.0,8975.0,649.0,297.0,14208.0,Pustertal,Autumn,1944448,14208,46126
