Year,Category,district_c,Arrivals,Present
2020,Agricaltural Lodging,4,118683,782427
2020,Agricaltural Lodging,5,46882,319447
2020,Agricaltural Lodging,6,32442,227154
2020,Agricaltural Lodging,7,20384,128441
2020,Agricaltural Lodging,8,11079,62923
2020,Campings,1,6282,21718
2020,Campings,2,53287,241486
2020,Campings,3,11524,22456
2020,Campings,4,99324,413858
2020,Campings,5,14558,64625
2020,Campings,6,33297,118630
2020,Campings,7,35724,150037
2020,Campings,8,4342,13907
2020,Other,1,3877,6873
2020,Other,2,17346,46004
2020,Other,3,19432,43018
2020,Other,4,43415,101890
2020,Other,5,19702,37451
2020,Other,6,1427,6234
2020,Other,7,15601,25289
2020,Other,8,6150,14540
2020,Private Lodging,1,21140,60930
2020,Private Lodging,2,47446,243979
2020,Private Lodging,3,19491,102061
2020,Private Lodging,4,130216,832264
2020,Private Lodging,5,81158,546835
2020,Private Lodging,6,12523,88434
2020,Private Lodging,7,14550,88632
2020,Private Lodging,8,5370,32238
2020,Residence,1,343,6782
2020,Residence,2,67888,426987
2020,Residence,3,21102,117803
2020,Residence,4,144308,909884
2020,Residence,5,58965,381895
2020,Residence,6,9506,83261
2020,Residence,7,39017,222617
2020,Residence,8,7387,50753
