Year,Month,Nationality,Arrivals,Present
2018,12.0,Italien,364322,1119279
2018,12.0,Schweiz und Liechtenstein,13547,50004
2018,12.0,Österreich,12882,34713
2019,1.0,Andere Länder,94436,552218
2019,1.0,Beneluxstaaten,13185,79232
2019,1.0,Deutschland,174110,1014540
2019,1.0,Italien,236128,962347
2019,1.0,Schweiz und Liechtenstein,12167,64204
2019,1.0,Österreich,12675,45421
2019,2.0,Andere Länder,116494,653761
2019,2.0,Beneluxstaaten,29690,168585
2019,2.0,Deutschland,205993,1092582
2019,2.0,Italien,208893,744634
2019,2.0,Schweiz und Liechtenstein,16682,88277
2019,2.0,Österreich,21830,91676
2019,3.0,Andere Länder,64195,341677
2019,3.0,Beneluxstaaten,27107,159767
2019,3.0,Deutschland,251765,1247758
2019,3.0,Italien,181233,637564
2019,3.0,Schweiz und Liechtenstein,16480,73311
2019,3.0,Österreich,20699,64370
2019,4.0,Andere Länder,23128,82174
