Year,Month,district_c,Season,Austria,Benelux countries,Germany,Italy,Other countries,Switzerland and Liechtenstein,Arrivals,District
2011,7.0,8,Summer,1100.0,3237.0,12012.0,15052.0,2786.0,555.0,34742.0,Wipptal
2011,8.0,1,Summer,2531.0,1339.0,10941.0,7610.0,5673.0,1156.0,29250.0,Bozen
2011,8.0,2,Summer,6761.0,5231.0,113502.0,40972.0,4786.0,10473.0,181725.0,Burggrafenamt
2011,8.0,3,Summer,2627.0,2102.0,29997.0,39043.0,2662.0,927.0,77358.0,Eisacktal
2011,8.0,4,Summer,4210.0,4524.0,38636.0,192757.0,8730.0,2421.0,251278.0,Pustertal
2011,8.0,5,Summer,2533.0,2203.0,34300.0,83905.0,4922.0,2048.0,129911.0,Salten-Schlern
2011,8.0,6,Summer,5119.0,2576.0,44780.0,12043.0,2745.0,2669.0,69932.0,Uberetsch-Unterland
2011,8.0,7,Summer,3195.0,3832.0,31685.0,33823.0,2663.0,4020.0,79218.0,Vinschgau
2011,8.0,8,Summer,1007.0,1281.0,10992.0,25191.0,1371.0,262.0,40104.0,Wipptal
2011,9.0,1,Autumn,3729.0,681.0,10047.0,8276.0,6129.0,1512.0,30374.0,Bozen
2011,9.0,2,Autumn,8323.0,2466.0,116320.0,13031.0,3869.0,15223.0,159232.0,Burggrafenamt
2011,9.0,3,Autumn,3703.0,964.0,40797.0,9974.0,3247.0,1754.0,60439.0,Eisacktal
2011,9.0,4,Autumn,6854.0,2242.0,61516.0,46005.0,6305.0,3646.0,126568.0,Pustertal
2011,9.0,5,Autumn,4133.0,1518.0,48653.0,18593.0,4865.0,3475.0,81237.0,Salten-Schlern
2011,9.0,6,Autumn,7338.0,1165.0,44365.0,6301.0,2441.0,4261.0,65871.0,Uberetsch-Unterland
2011,9.0,7,Autumn,2649.0,1467.0,33531.0,10239.0,2401.0,5195.0,55482.0,Vinschgau
2011,9.0,8,Autumn,1295.0,744.0,17449.0,7468.0,1296.0,477.0,28729.0,Wipptal
