Year,Month,District,Nationality,Arrivals,Present
2010,1.0,Mühlwald,Beneluxstaaten,240,1085
2010,1.0,Mühlwald,Deutschland,1937,10710
2010,1.0,Mühlwald,Italien,293,1464
2010,1.0,Mühlwald,Schweiz und Liechtenstein,3,21
2010,1.0,Mühlwald,Österreich,18,50
2010,1.0,Nals,Andere Länder,10,154
2010,1.0,Nals,Beneluxstaaten,2,6
2010,1.0,Nals,Deutschland,24,147
2010,1.0,Nals,Italien,131,1199
2010,1.0,Nals,Schweiz und Liechtenstein,1,23
2010,1.0,Nals,Österreich,18,56
2010,1.0,Naturns,Andere Länder,17,323
2010,1.0,Naturns,Beneluxstaaten,0,2
2010,1.0,Naturns,Deutschland,109,1051
2010,1.0,Naturns,Italien,374,1979
2010,1.0,Naturns,Schweiz und Liechtenstein,45,266
2010,1.0,Naturns,Österreich,38,106
2010,1.0,Natz-Schabs,Andere Länder,739,3161
2010,1.0,Natz-Schabs,Beneluxstaaten,12,59
2010,1.0,Natz-Schabs,Deutschland,3989,20233
2010,1.0,Natz-Schabs,Italien,1008,5949
2010,1.0,Natz-Schabs,Schweiz und Liechtenstein,100,416
2010,1.0,Natz-Schabs,Österreich,22,116
2010,1.0,Neumarkt,Andere Länder,22,139
2010,1.0,Neumarkt,Beneluxstaaten,10,21
2010,1.0,Neumarkt,Deutschland,19,105
2010,1.0,Neumarkt,Italien,167,869
2010,1.0,Neumarkt,Österreich,3,3
2010,1.0,Niederdorf,Andere Länder,392,2095
2010,1.0,Niederdorf,Beneluxstaaten,7,65
2010,1.0,Niederdorf,Deutschland,673,3044
2010,1.0,Niederdorf,Italien,1222,6811
2010,1.0,Niederdorf,Schweiz und Liechtenstein,4,17
2010,1.0,Niederdorf,Österreich,32,111
2010,1.0,Olang,Andere Länder,3702,21607
2010,1.0,Olang,Beneluxstaaten,289,1525
2010,1.0,Olang,Deutschland,4958,26587
2010,1.0,Olang,Italien,3975,19309
2010,1.0,Olang,Schweiz und Liechtenstein,55,299
2010,1.0,Olang,Österreich,429,1529
2010,1.0,Partschins,Andere Länder,12,274
2010,1.0,Partschins,Beneluxstaaten,3,5
2010,1.0,Partschins,Deutschland,106,1013
2010,1.0,Partschins,Italien,483,2558
2010,1.0,Partschins,Schweiz und Liechtenstein,12,67
2010,1.0,Partschins,Österreich,21,35
2010,1.0,Percha,Andere Länder,96,607
2010,1.0,Percha,Beneluxstaaten,38,284
2010,1.0,Percha,Deutschland,305,1310
2010,1.0,Percha,Italien,435,2024
2010,1.0,Percha,Österreich,20,80
2010,1.0,Pfalzen,Andere Länder,844,3509
2010,1.0,Pfalzen,Beneluxstaaten,236,1142
2010,1.0,Pfalzen,Deutschland,1354,6923
2010,1.0,Pfalzen,Italien,1211,5820
2010,1.0,Pfalzen,Schweiz und Liechtenstein,5,33
2010,1.0,Pfalzen,Österreich,69,369
2010,1.0,Pfatten,Andere Länder,0,1
2010,1.0,Pfatten,Beneluxstaaten,0,3
2010,1.0,Pfatten,Deutschland,11,126
2010,1.0,Pfatten,Italien,25,120
2010,1.0,Pfatten,Schweiz und Liechtenstein,0,6
2010,1.0,Pfatten,Österreich,2,8
2010,1.0,Pfitsch,Andere Länder,25,331
2010,1.0,Pfitsch,Beneluxstaaten,27,131
2010,1.0,Pfitsch,Deutschland,937,3316
2010,1.0,Pfitsch,Italien,1183,5248
2010,1.0,Pfitsch,Schweiz und Liechtenstein,5,31
2010,1.0,Pfitsch,Österreich,14,45
2010,1.0,Plaus,Andere Länder,1,33
2010,1.0,Plaus,Deutschland,14,357
2010,1.0,Plaus,Italien,152,731
