,Year,Month,District,Category,Arrivals,Present
352,2010,6.0,Val Pusteria,Campings,5363,23224
353,2010,6.0,Val Pusteria,Private Lodging,3032,17538
354,2010,6.0,Val Pusteria,Private Lodging,251,1448
355,2010,6.0,Val Pusteria,Residence,5775,34206
356,2010,6.0,Val Pusteria,Agricaltural Lodging,4659,30381
357,2010,6.0,Salto-Sciliar,1-2 Star Hotel,3777,17406
358,2010,6.0,Salto-Sciliar,3 Star Hotel,22206,103979
359,2010,6.0,Salto-Sciliar,4-5 Star Hotel,20048,98059
360,2010,6.0,Salto-Sciliar,Other,863,4028
361,2010,6.0,Salto-Sciliar,Campings,1410,7730
362,2010,6.0,Salto-Sciliar,Private Lodging,3218,19409
363,2010,6.0,Salto-Sciliar,Residence,2658,18445
364,2010,6.0,Salto-Sciliar,Agricaltural Lodging,2897,19736
365,2010,6.0,Val Venosta,1-2 Star Hotel,4271,14418
366,2010,6.0,Val Venosta,3 Star Hotel,13620,50758
367,2010,6.0,Val Venosta,4-5 Star Hotel,5944,24536
368,2010,6.0,Val Venosta,Other,606,1459
369,2010,6.0,Val Venosta,Campings,4168,18303
370,2010,6.0,Val Venosta,Private Lodging,1094,5963
371,2010,6.0,Val Venosta,Private Lodging,4,16
372,2010,6.0,Val Venosta,Residence,3095,16452
373,2010,6.0,Val Venosta,Agricaltural Lodging,1408,9835
374,2010,6.0,Alta Valle Isarco,1-2 Star Hotel,2258,4821
375,2010,6.0,Alta Valle Isarco,3 Star Hotel,7206,21247
376,2010,6.0,Alta Valle Isarco,4-5 Star Hotel,6166,28800
377,2010,6.0,Alta Valle Isarco,Other,151,176
378,2010,6.0,Alta Valle Isarco,Campings,717,1256
379,2010,6.0,Alta Valle Isarco,Private Lodging,206,2220
380,2010,6.0,Alta Valle Isarco,Residence,544,5084
381,2010,6.0,Alta Valle Isarco,Agricaltural Lodging,206,1862
382,2010,6.0,Oltradige-Bassa Ates.,1-2 Star Hotel,4295,17038
383,2010,6.0,Oltradige-Bassa Ates.,3 Star Hotel,23945,83645
384,2010,6.0,Oltradige-Bassa Ates.,4-5 Star Hotel,7604,37165
385,2010,6.0,Oltradige-Bassa Ates.,Other,668,2329
386,2010,6.0,Oltradige-Bassa Ates.,Campings,3016,19814
387,2010,6.0,Oltradige-Bassa Ates.,Private Lodging,1652,10301
388,2010,6.0,Oltradige-Bassa Ates.,Residence,1180,12767
389,2010,6.0,Oltradige-Bassa Ates.,Agricaltural Lodging,4381,29277
390,2010,7.0,Bolzano,1-2 Star Hotel,2136,7792
391,2010,7.0,Bolzano,3 Star Hotel,8456,16436
392,2010,7.0,Bolzano,4-5 Star Hotel,13346,23306
393,2010,7.0,Bolzano,Other,1223,2472
394,2010,7.0,Bolzano,Campings,1390,5730
395,2010,7.0,Bolzano,Private Lodging,18,593
396,2010,7.0,Bolzano,Agricaltural Lodging,193,750
397,2010,7.0,Burgraviato,1-2 Star Hotel,11447,63966
398,2010,7.0,Burgraviato,3 Star Hotel,52416,297996
399,2010,7.0,Burgraviato,4-5 Star Hotel,44339,258974
400,2010,7.0,Burgraviato,Other,3825,8933
401,2010,7.0,Burgraviato,Campings,7770,48185
402,2010,7.0,Burgraviato,Private Lodging,6173,43457
403,2010,7.0,Burgraviato,Private Lodging,66,488
404,2010,7.0,Burgraviato,Residence,11458,99302
405,2010,7.0,Burgraviato,Agricaltural Lodging,8138,63410
406,2010,7.0,Valle Isarco,1-2 Star Hotel,9751,57722
407,2010,7.0,Valle Isarco,3 Star Hotel,24845,118738
408,2010,7.0,Valle Isarco,4-5 Star Hotel,14334,69016
409,2010,7.0,Valle Isarco,Other,5229,16061
410,2010,7.0,Valle Isarco,Campings,3502,6790
411,2010,7.0,Valle Isarco,Private Lodging,2477,15978
412,2010,7.0,Valle Isarco,Private Lodging,2,20
413,2010,7.0,Valle Isarco,Residence,2045,18022
414,2010,7.0,Valle Isarco,Agricaltural Lodging,5327,38001
415,2010,7.0,Val Pusteria,1-2 Star Hotel,27545,157199
416,2010,7.0,Val Pusteria,3 Star Hotel,71038,365984
417,2010,7.0,Val Pusteria,4-5 Star Hotel,46303,239805
418,2010,7.0,Val Pusteria,Other,14583,38021
419,2010,7.0,Val Pusteria,Campings,17102,92341
420,2010,7.0,Val Pusteria,Private Lodging,16471,119236
421,2010,7.0,Val Pusteria,Private Lodging,716,4600
422,2010,7.0,Val Pusteria,Residence,19433,141244
423,2010,7.0,Val Pusteria,Agricaltural Lodging,14611,117294
424,2010,7.0,Salto-Sciliar,1-2 Star Hotel,8277,42708
425,2010,7.0,Salto-Sciliar,3 Star Hotel,38138,215092
426,2010,7.0,Salto-Sciliar,4-5 Star Hotel,33657,193877
427,2010,7.0,Salto-Sciliar,Other,1939,9259
428,2010,7.0,Salto-Sciliar,Campings,2729,15791
429,2010,7.0,Salto-Sciliar,Private Lodging,9846,74332
430,2010,7.0,Salto-Sciliar,Residence,7166,57370
431,2010,7.0,Salto-Sciliar,Agricaltural Lodging,6242,51274
